id,first_name,last_name,email,phone,gender,age,job_title,years_of_experience,salary,department,Full Name,designation,salary_usd
1,Jose,Lopez,joselopez0944@slingacademy.com,Invalid Number,male,25,Project Manager,1,8500,Product,Jose Lopez,System Engineer,101.8
2,Diane,Carter,dianecarter1228@slingacademy.com,881.633.0107,female,26,Machine Learning Engineer,2,7000,Product,Diane Carter,System Engineer,83.83
3,Shawn,Foster,shawnfoster2695@slingacademy.com,Invalid Number,male,37,Project Manager,14,17000,Product,Shawn Foster,Lead,203.59
4,Brenda,Fisher,brendafisher3185@slingacademy.com,001-574-564-4648,female,31,Web Developer,8,10000,Product,Brenda Fisher,Senior Data Engineer,119.76
5,Sean,Hunter,seanhunter4753@slingacademy.com,5838355842,male,35,Project Manager,11,14500,Product,Sean Hunter,Lead,173.65
6,Joshua,Jacobs,joshuajacobs5904@slingacademy.com,053-913-2609,male,28,Project Manager,3,10500,Product,Joshua Jacobs,Data Engineer,125.75
7,Brianna,Marshall,briannamarshall6438@slingacademy.com,701-932-8553,female,33,Machine Learning Engineer,10,11000,Product,Brianna Marshall,Senior Data Engineer,131.74
8,John,Tate,johntate7881@slingacademy.com,Invalid Number,male,33,Mobile Developer,10,11000,Product,John Tate,Senior Data Engineer,131.74
9,Jillian,Byrd,jillianbyrd8170@slingacademy.com,Invalid Number,female,34,Web Developer,10,11000,Product,Jillian Byrd,Senior Data Engineer,131.74
10,Melanie,Sharp,melaniesharp9256@slingacademy.com,(848)212-0230,female,41,Web Developer,15,14500,Product,Melanie Sharp,Lead,173.65
11,Brandy,Mckee,brandymckee10500@slingacademy.com,Invalid Number,female,37,Web Developer,14,14000,Product,Brandy Mckee,Lead,167.66
12,Robert,Simpson,robertsimpson11778@slingacademy.com,Invalid Number,male,36,DevOps Engineer,12,15000,Product,Robert Simpson,Lead,179.64
13,George,Mckenzie,georgemckenzie12384@slingacademy.com,(843)416-2489,male,28,Machine Learning Engineer,4,10000,Product,George Mckenzie,Data Engineer,119.76
14,Joseph,Smith,josephsmith13724@slingacademy.com,+1-380-230-4166,male,40,Machine Learning Engineer,14,14000,Product,Joseph Smith,Lead,167.66
15,Dana,Crawford,danacrawford14310@slingacademy.com,Invalid Number,female,32,Project Manager,8,12000,Product,Dana Crawford,Senior Data Engineer,143.71
16,Christopher,Benson,christopherbenson15937@slingacademy.com,Invalid Number,male,29,Web Developer,5,7500,Product,Christopher Benson,Data Engineer,89.82
17,Nicole,Smith,nicolesmith16360@slingacademy.com,Invalid Number,female,26,Designer,4,10000,Product,Nicole Smith,Data Engineer,119.76
18,Peter,Jimenez,peterjimenez17791@slingacademy.com,Invalid Number,male,28,Mobile Developer,3,6500,Product,Peter Jimenez,Data Engineer,77.84
19,Sergio,Boyle,sergioboyle18425@slingacademy.com,3027626274,male,31,Tester,6,9000,Product,Sergio Boyle,Senior Data Engineer,107.78
20,Brianna,Moss,briannamoss19517@slingacademy.com,Invalid Number,female,31,Designer,5,10500,Product,Brianna Moss,Data Engineer,125.75
21,Taylor,Garner,taylorgarner20196@slingacademy.com,Invalid Number,female,32,Machine Learning Engineer,6,11000,Product,Taylor Garner,Senior Data Engineer,131.74
22,Michael,Padilla,michaelpadilla21381@slingacademy.com,(787)446-1738,male,29,Tester,5,9500,Product,Michael Padilla,Data Engineer,113.77
23,Yvette,Walker,yvettewalker22744@slingacademy.com,154-489-0248,female,26,Designer,2,7000,Product,Yvette Walker,System Engineer,83.83
24,Kristina,Pena,kristinapena23750@slingacademy.com,Invalid Number,female,34,DevOps Engineer,11,12500,Product,Kristina Pena,Lead,149.7
25,Vanessa,Reynolds,vanessareynolds24710@slingacademy.com,Invalid Number,female,36,Machine Learning Engineer,10,13000,Product,Vanessa Reynolds,Senior Data Engineer,155.69
26,Robert,Suarez,robertsuarez25924@slingacademy.com,Invalid Number,male,33,Tester,9,9500,Product,Robert Suarez,Senior Data Engineer,113.77
27,Tammy,Ellis,tammyellis26570@slingacademy.com,Invalid Number,female,37,HR Manager,14,14000,Human Resource,Tammy Ellis,Lead,167.66
28,Rodney,Porter,rodneyporter27496@slingacademy.com,+1-508-187-4826,male,28,DevOps Engineer,3,9500,Product,Rodney Porter,Data Engineer,113.77
29,David,Reyes,davidreyes28592@slingacademy.com,Invalid Number,male,25,Designer,2,7000,Product,David Reyes,System Engineer,83.83
30,Brian,Kirby,briankirby29574@slingacademy.com,Invalid Number,male,31,Machine Learning Engineer,8,10000,Product,Brian Kirby,Senior Data Engineer,119.76
31,Tammy,Walker,tammywalker30386@slingacademy.com,Invalid Number,female,31,Web Developer,7,8500,Product,Tammy Walker,Senior Data Engineer,101.8
32,Angela,Stewart,angelastewart31951@slingacademy.com,745-157-5520,female,34,HR Manager,10,10000,Human Resource,Angela Stewart,Senior Data Engineer,119.76
33,Susan,Parker,susanparker32865@slingacademy.com,255.599.0102,female,25,DevOps Engineer,3,8500,Product,Susan Parker,Data Engineer,101.8
34,Robert,Hogan,roberthogan33599@slingacademy.com,1138662041,male,24,Tester,2,7000,Product,Robert Hogan,System Engineer,83.83
35,Dawn,Pham,dawnpham34908@slingacademy.com,Invalid Number,female,27,Designer,4,9000,Product,Dawn Pham,Data Engineer,107.78
36,Karen,Duke,karenduke35869@slingacademy.com,622.245.2756,female,29,DevOps Engineer,6,11000,Product,Karen Duke,Senior Data Engineer,131.74
37,Julian,Thompson,julianthompson36437@slingacademy.com,Invalid Number,male,28,Machine Learning Engineer,4,7000,Product,Julian Thompson,Data Engineer,83.83
38,Daisy,Perry,daisyperry37789@slingacademy.com,Invalid Number,female,30,Tester,5,9500,Product,Daisy Perry,Data Engineer,113.77
39,Sarah,Smith,sarahsmith38793@slingacademy.com,Invalid Number,female,24,Machine Learning Engineer,2,6000,Product,Sarah Smith,System Engineer,71.86
40,Eric,Randolph,ericrandolph39291@slingacademy.com,Invalid Number,male,29,Designer,5,8500,Product,Eric Randolph,Data Engineer,101.8
41,William,Keller,williamkeller40838@slingacademy.com,Invalid Number,male,30,Web Developer,4,8000,Product,William Keller,Data Engineer,95.81
42,George,Salas,georgesalas41217@slingacademy.com,Invalid Number,male,35,Web Developer,11,10500,Product,George Salas,Lead,125.75
43,Alyssa,Archer,alyssaarcher42600@slingacademy.com,Invalid Number,female,35,DevOps Engineer,13,15500,Product,Alyssa Archer,Lead,185.63
44,Daniel,Wagner,danielwagner43907@slingacademy.com,Invalid Number,male,35,HR Manager,11,12500,Human Resource,Daniel Wagner,Lead,149.7
45,David,Howard,davidhoward44518@slingacademy.com,(940)475-4836,male,33,Machine Learning Engineer,9,11500,Product,David Howard,Senior Data Engineer,137.72
46,Brett,Friedman,brettfriedman45236@slingacademy.com,Invalid Number,male,34,HR Manager,10,10000,Human Resource,Brett Friedman,Senior Data Engineer,119.76
47,Shaun,Harris,shaunharris46875@slingacademy.com,(279)621-2475,male,23,Designer,1,6500,Product,Shaun Harris,System Engineer,77.84
48,Jason,Morris,jasonmorris47229@slingacademy.com,Invalid Number,male,28,DevOps Engineer,5,9500,Product,Jason Morris,Data Engineer,113.77
49,Jesse,Mcdaniel,jessemcdaniel48348@slingacademy.com,Invalid Number,male,35,Mobile Developer,11,11500,Product,Jesse Mcdaniel,Lead,137.72
50,Jessica,Torres,jessicatorres49971@slingacademy.com,Invalid Number,female,33,HR Manager,7,9500,Human Resource,Jessica Torres,Senior Data Engineer,113.77
51,Bradley,Garcia,bradleygarcia50896@slingacademy.com,(267)794-5965,male,29,Designer,3,6500,Product,Bradley Garcia,Data Engineer,77.84
52,Christopher,Walker,christopherwalker51808@slingacademy.com,954.740.2159,male,25,Mobile Developer,1,5500,Product,Christopher Walker,System Engineer,65.87
53,Jason,Boyd,jasonboyd52182@slingacademy.com,Invalid Number,male,39,Designer,14,15000,Product,Jason Boyd,Lead,179.64
54,Colleen,Cooper,colleencooper53362@slingacademy.com,Invalid Number,female,32,Machine Learning Engineer,7,10500,Product,Colleen Cooper,Senior Data Engineer,125.75
55,Laurie,Robinson,laurierobinson54980@slingacademy.com,989.611.2546,female,38,Mobile Developer,15,13500,Product,Laurie Robinson,Lead,161.68
56,Tiffany,Novak,tiffanynovak55365@slingacademy.com,Invalid Number,female,35,Mobile Developer,12,12000,Product,Tiffany Novak,Lead,143.71
57,Sophia,Coleman,sophiacoleman56563@slingacademy.com,Invalid Number,female,40,Tester,15,13500,Product,Sophia Coleman,Lead,161.68
58,Jodi,Harris,jodiharris57145@slingacademy.com,001-466-805-0485,female,34,DevOps Engineer,9,13500,Product,Jodi Harris,Senior Data Engineer,161.68
59,Michael,Calhoun,michaelcalhoun58176@slingacademy.com,001-931-707-3027,male,23,Web Developer,1,7500,Product,Michael Calhoun,System Engineer,89.82
60,Aaron,Tran,aarontran59178@slingacademy.com,Invalid Number,male,40,DevOps Engineer,15,16500,Product,Aaron Tran,Lead,197.6
61,Karen,Aguirre,karenaguirre60547@slingacademy.com,Invalid Number,female,36,Web Developer,13,13500,Product,Karen Aguirre,Lead,161.68
62,Danielle,Morrison,daniellemorrison61394@slingacademy.com,Invalid Number,female,31,HR Manager,7,9500,Human Resource,Danielle Morrison,Senior Data Engineer,113.77
63,Amanda,Thomas,amandathomas62614@slingacademy.com,001-629-462-1944,female,28,Web Developer,6,9000,Product,Amanda Thomas,Senior Data Engineer,107.78
64,Sarah,Spencer,sarahspencer63772@slingacademy.com,(025)089-0360,female,36,Tester,14,14000,Product,Sarah Spencer,Lead,167.66
65,Jessica,Ho,jessicaho64531@slingacademy.com,251-289-1532,female,34,DevOps Engineer,10,12000,Product,Jessica Ho,Senior Data Engineer,143.71
66,Kristy,Rhodes,kristyrhodes65269@slingacademy.com,Invalid Number,female,40,Web Developer,15,13500,Product,Kristy Rhodes,Lead,161.68
67,Joseph,Hobbs,josephhobbs66797@slingacademy.com,Invalid Number,male,26,Mobile Developer,1,7500,Product,Joseph Hobbs,System Engineer,89.82
68,Allison,Matthews,allisonmatthews67756@slingacademy.com,(394)302-9258,female,35,Web Developer,12,12000,Product,Allison Matthews,Lead,143.71
69,James,Phillips,jamesphillips68522@slingacademy.com,(733)967-0336,male,40,Web Developer,15,14500,Product,James Phillips,Lead,173.65
70,Philip,Thomas,philipthomas69207@slingacademy.com,Invalid Number,male,38,DevOps Engineer,12,15000,Product,Philip Thomas,Lead,179.64
71,Dawn,Walker,dawnwalker70868@slingacademy.com,Invalid Number,female,31,Mobile Developer,6,10000,Product,Dawn Walker,Senior Data Engineer,119.76
72,Denise,Lopez,deniselopez71911@slingacademy.com,597.328.1460,female,31,Designer,5,9500,Product,Denise Lopez,Data Engineer,113.77
73,Gregory,House,gregoryhouse72945@slingacademy.com,1541376919,male,34,HR Manager,9,9500,Human Resource,Gregory House,Senior Data Engineer,113.77
74,Stacie,Diaz,staciediaz73929@slingacademy.com,Invalid Number,female,31,Machine Learning Engineer,6,11000,Product,Stacie Diaz,Senior Data Engineer,131.74
75,Barbara,Burns,barbaraburns74284@slingacademy.com,Invalid Number,female,33,Web Developer,11,10500,Product,Barbara Burns,Lead,125.75
76,Jessica,Cortez,jessicacortez75317@slingacademy.com,768.794.6062,female,39,Tester,14,12000,Product,Jessica Cortez,Lead,143.71
77,Daniel,Hernandez,danielhernandez76747@slingacademy.com,+1-653-006-3659,male,33,Tester,7,9500,Product,Daniel Hernandez,Senior Data Engineer,113.77
78,Eugene,Diaz,eugenediaz77610@slingacademy.com,Invalid Number,male,29,Machine Learning Engineer,3,9500,Product,Eugene Diaz,Data Engineer,113.77
79,Earl,Nelson,earlnelson78644@slingacademy.com,001-666-637-1061,male,34,Web Developer,11,12500,Product,Earl Nelson,Lead,149.7
80,Elizabeth,Jackson,elizabethjackson79562@slingacademy.com,Invalid Number,female,28,DevOps Engineer,3,8500,Product,Elizabeth Jackson,Data Engineer,101.8
81,John,Martinez,johnmartinez80595@slingacademy.com,001-116-711-6587,male,26,Web Developer,4,7000,Product,John Martinez,Data Engineer,83.83
82,Wesley,Shaw,wesleyshaw81546@slingacademy.com,0250878834,male,26,Mobile Developer,1,6500,Product,Wesley Shaw,System Engineer,77.84
83,Michael,Davila,michaeldavila82958@slingacademy.com,9179864827,male,40,DevOps Engineer,14,16000,Product,Michael Davila,Lead,191.62
84,Heidi,Hill,heidihill83123@slingacademy.com,Invalid Number,female,40,Tester,15,12500,Product,Heidi Hill,Lead,149.7
85,Yvonne,Bass,yvonnebass84513@slingacademy.com,Invalid Number,female,33,Tester,8,9000,Product,Yvonne Bass,Senior Data Engineer,107.78
86,Jamie,Jones,jamiejones85266@slingacademy.com,001-039-712-8015,female,24,Web Developer,1,6500,Product,Jamie Jones,System Engineer,77.84
87,Brady,Washington,bradywashington86649@slingacademy.com,Invalid Number,male,23,Designer,1,5500,Product,Brady Washington,System Engineer,65.87
88,Michael,Rivera,michaelrivera87962@slingacademy.com,243-399-1129,male,29,Web Developer,3,6500,Product,Michael Rivera,Data Engineer,77.84
89,Angela,Morales,angelamorales88595@slingacademy.com,Invalid Number,female,28,Web Developer,4,9000,Product,Angela Morales,Data Engineer,107.78
90,Larry,Moore,larrymoore89266@slingacademy.com,Invalid Number,male,28,Web Developer,5,7500,Product,Larry Moore,Data Engineer,89.82
91,Veronica,Oliver,veronicaoliver90922@slingacademy.com,Invalid Number,female,25,Tester,2,7000,Product,Veronica Oliver,System Engineer,83.83
92,Clayton,Smith,claytonsmith91214@slingacademy.com,8318062400,male,27,Mobile Developer,2,6000,Product,Clayton Smith,System Engineer,71.86
93,Tamara,Randall,tamararandall92432@slingacademy.com,Invalid Number,female,32,Mobile Developer,10,11000,Product,Tamara Randall,Senior Data Engineer,131.74
94,Amy,Vaughn,amyvaughn93722@slingacademy.com,Invalid Number,female,28,Designer,5,11500,Product,Amy Vaughn,Data Engineer,137.72
95,Larry,Chapman,larrychapman94932@slingacademy.com,001-539-747-0649,male,35,Designer,12,12000,Product,Larry Chapman,Lead,143.71
96,Eugene,Mcintyre,eugenemcintyre95994@slingacademy.com,481-160-8125,male,25,HR Manager,2,7000,Human Resource,Eugene Mcintyre,System Engineer,83.83
97,Patricia,Suarez,patriciasuarez96379@slingacademy.com,Invalid Number,female,41,Designer,15,16500,Product,Patricia Suarez,Lead,197.6
98,Melissa,Vasquez,melissavasquez97165@slingacademy.com,490-884-4764,female,35,DevOps Engineer,10,12000,Product,Melissa Vasquez,Senior Data Engineer,143.71
99,Stephanie,Hodges,stephaniehodges98715@slingacademy.com,Invalid Number,female,38,Web Developer,14,14000,Product,Stephanie Hodges,Lead,167.66
100,Brian,Watkins,brianwatkins99160@slingacademy.com,2648820032,male,32,Web Developer,10,11000,Product,Brian Watkins,Senior Data Engineer,131.74
101,Zachary,Ellis,zacharyellis100141@slingacademy.com,Invalid Number,male,34,Tester,12,12000,Product,Zachary Ellis,Lead,143.71
102,Mark,Maxwell,markmaxwell101603@slingacademy.com,137-430-7223,male,28,Tester,4,9000,Product,Mark Maxwell,Data Engineer,107.78
103,Jill,Farmer,jillfarmer102620@slingacademy.com,0571661198,female,26,DevOps Engineer,4,9000,Product,Jill Farmer,Data Engineer,107.78
104,Rhonda,Park,rhondapark103796@slingacademy.com,498-878-6219,female,35,DevOps Engineer,12,13000,Product,Rhonda Park,Lead,155.69
105,Jessica,Park,jessicapark104881@slingacademy.com,874-348-4705,female,26,HR Manager,1,5500,Human Resource,Jessica Park,System Engineer,65.87
106,Keith,Bender,keithbender105366@slingacademy.com,Invalid Number,male,35,Machine Learning Engineer,10,10000,Product,Keith Bender,Senior Data Engineer,119.76
107,Andrew,Silva,andrewsilva106948@slingacademy.com,3782883279,male,35,HR Manager,12,11000,Human Resource,Andrew Silva,Lead,131.74
108,John,Escobar,johnescobar107306@slingacademy.com,Invalid Number,male,34,Mobile Developer,8,10000,Product,John Escobar,Senior Data Engineer,119.76
109,Savannah,Woods,savannahwoods108924@slingacademy.com,Invalid Number,female,23,Web Developer,1,5500,Product,Savannah Woods,System Engineer,65.87
110,Cameron,Solis,cameronsolis109983@slingacademy.com,Invalid Number,male,36,Machine Learning Engineer,14,14000,Product,Cameron Solis,Lead,167.66
111,Patrick,Johnson,patrickjohnson110856@slingacademy.com,Invalid Number,male,36,Tester,12,13000,Product,Patrick Johnson,Lead,155.69
112,Nathan,Oconnor,nathanoconnor111395@slingacademy.com,Invalid Number,male,37,Mobile Developer,11,11500,Product,Nathan Oconnor,Lead,137.72
113,Felicia,Fox,feliciafox112789@slingacademy.com,Invalid Number,female,38,Web Developer,12,11000,Product,Felicia Fox,Lead,131.74
114,Nicole,Davis,nicoledavis113588@slingacademy.com,Invalid Number,female,26,Web Developer,1,5500,Product,Nicole Davis,System Engineer,65.87
115,Gregory,Kirk,gregorykirk114408@slingacademy.com,Invalid Number,male,39,Machine Learning Engineer,13,11500,Product,Gregory Kirk,Lead,137.72
116,Ashley,Carrillo,ashleycarrillo115726@slingacademy.com,001-097-500-5888,female,37,Tester,12,12000,Product,Ashley Carrillo,Lead,143.71
117,Brandon,White,brandonwhite116729@slingacademy.com,Invalid Number,male,31,Machine Learning Engineer,7,8500,Product,Brandon White,Senior Data Engineer,101.8
118,Joshua,Miles,joshuamiles117429@slingacademy.com,+1-810-231-0550,male,29,Web Developer,5,7500,Product,Joshua Miles,Data Engineer,89.82
119,Gabriel,Shannon,gabrielshannon118996@slingacademy.com,Invalid Number,male,33,DevOps Engineer,11,13500,Product,Gabriel Shannon,Lead,161.68
120,Charles,Chan,charleschan119980@slingacademy.com,077-570-4283,male,26,Machine Learning Engineer,2,7000,Product,Charles Chan,System Engineer,83.83
121,Stephanie,Hill,stephaniehill120240@slingacademy.com,Invalid Number,female,38,DevOps Engineer,15,15500,Product,Stephanie Hill,Lead,185.63
122,Brian,Kelly,briankelly121771@slingacademy.com,Invalid Number,male,38,DevOps Engineer,12,15000,Product,Brian Kelly,Lead,179.64
123,Susan,Lopez,susanlopez122522@slingacademy.com,573-472-7131,female,30,Machine Learning Engineer,8,9000,Product,Susan Lopez,Senior Data Engineer,107.78
124,Logan,Edwards,loganedwards123515@slingacademy.com,536.588.4331,male,36,Designer,14,16000,Product,Logan Edwards,Lead,191.62
125,Ryan,Young,ryanyoung124775@slingacademy.com,Invalid Number,male,36,DevOps Engineer,13,15500,Product,Ryan Young,Lead,185.63
126,Rebecca,Crawford,rebeccacrawford125111@slingacademy.com,Invalid Number,female,37,Web Developer,13,11500,Product,Rebecca Crawford,Lead,137.72
127,Leslie,Sullivan,lesliesullivan126504@slingacademy.com,Invalid Number,female,40,Tester,15,12500,Product,Leslie Sullivan,Lead,149.7
128,Andrew,Carey,andrewcarey127127@slingacademy.com,4267904671,male,24,DevOps Engineer,1,9500,Product,Andrew Carey,System Engineer,113.77
129,Richard,Sawyer,richardsawyer128529@slingacademy.com,(485)441-3528,male,30,Mobile Developer,8,11000,Product,Richard Sawyer,Senior Data Engineer,131.74
130,Garrett,Nguyen,garrettnguyen129713@slingacademy.com,Invalid Number,male,36,Machine Learning Engineer,13,11500,Product,Garrett Nguyen,Lead,137.72
131,Cody,Zuniga,codyzuniga130555@slingacademy.com,Invalid Number,male,35,DevOps Engineer,13,15500,Product,Cody Zuniga,Lead,185.63
132,James,Johnson,jamesjohnson131504@slingacademy.com,358.400.3210,male,31,Tester,9,9500,Product,James Johnson,Senior Data Engineer,113.77
133,Jamie,Ruiz,jamieruiz132870@slingacademy.com,Invalid Number,female,27,Tester,4,7000,Product,Jamie Ruiz,Data Engineer,83.83
134,Brandi,Evans,brandievans133450@slingacademy.com,Invalid Number,female,29,Tester,5,8500,Product,Brandi Evans,Data Engineer,101.8
135,Jennifer,Obrien,jenniferobrien134415@slingacademy.com,001-576-701-2547,female,40,Mobile Developer,14,12000,Product,Jennifer Obrien,Lead,143.71
136,Whitney,Espinoza,whitneyespinoza135280@slingacademy.com,Invalid Number,female,29,Machine Learning Engineer,7,11500,Product,Whitney Espinoza,Senior Data Engineer,137.72
137,Brandon,Rosario,brandonrosario136801@slingacademy.com,5804460236,male,26,Mobile Developer,4,8000,Product,Brandon Rosario,Data Engineer,95.81
138,Jennifer,Rhodes,jenniferrhodes137946@slingacademy.com,Invalid Number,female,29,Web Developer,4,8000,Product,Jennifer Rhodes,Data Engineer,95.81
139,Jordan,Michael,jordanmichael138385@slingacademy.com,(372)150-9511,female,27,Mobile Developer,3,7500,Product,Jordan Michael,Data Engineer,89.82
140,James,Knight,jamesknight139390@slingacademy.com,Invalid Number,male,26,Web Developer,3,8500,Product,James Knight,Data Engineer,101.8
141,Michelle,Ramirez,michelleramirez140449@slingacademy.com,Invalid Number,female,27,Machine Learning Engineer,3,8500,Product,Michelle Ramirez,Data Engineer,101.8
142,Peter,Mercado,petermercado141760@slingacademy.com,Invalid Number,male,33,Mobile Developer,11,12500,Product,Peter Mercado,Lead,149.7
